FOODID;FOODNAME;FOODTYPE;PROCESS;EDPORT;IGCLASS;IGCLASSP;FUCLASS;FUCLASSP
32858;KAALIKÄÄRYLE, NAUDANPAISTI;DISH;BAK;100;DISH;NONINGR;MEATDISH;MEATDTOT
32859;KALAKUKKO, MUIKKUKUKKO;DISH;BAK;100;DISH;NONINGR;BAKSALT;CEBAKTOT
32862;VERILEIPÄ, VERIKLIMPPI, VERIVANUKAS, VERIPALTTU;DISH;BAK;100;DISH;NONINGR;OFFALDI;MEATDTOT
32863;RÖSSYMAITO;DISH;BOIL;100;DISH;NONINGR;OFFALDI;MEATDTOT
32864;RÖSSYPOTTU;DISH;BOIL;100;DISH;NONINGR;OFFALDI;MEATDTOT
32865;RISOTTO, KALARISOTTO;DISH;BOIL;100;DISH;NONINGR;SEAFDISH;FISHDTOT
32866;RISOTTO, ÄYRIÄISRISOTTO, KATKARAPU, SIMPUKKA;DISH;BOIL;100;DISH;NONINGR;SEAFDISH;FISHDTOT
32867;LANTTUKUKKO, RUISKUORI;DISH;BAK;100;DISH;NONINGR;BAKSALT;CEBAKTOT
32868;PATAKUKKO, MUIKKU;DISH;BAK;100;DISH;NONINGR;BAKSALT;CEBAKTOT
32870;PURJOSIPULI, KEITETTY, SUOLATON;DISH;BOIL;100;DISH;NONINGR;VEGPOT;VEGDITOT
32871;LIHAPULLA, SIENI-LIHAPULLA, SIKA-NAUTA, PAISTETTU;DISH;FRIE;100;DISH;NONINGR;MEATDISH;MEATDTOT
32872;SITRUUNAKASTIKE, KERMAINEN;DISH;BOIL;100;DISH;NONINGR;SAVSAUCE;MISCTOT
32873;NOKKOSKEITTO, MAITO;DISH;BOIL;100;DISH;NONINGR;VEGSOUP;VEGDITOT
32874;NOKKOSKEITTO, KASVISLIEMI JA KERMA;DISH;BOIL;100;DISH;NONINGR;VEGSOUP;VEGDITOT
32875;KESÄKEITTO, UUSI PERUNA;DISH;BOIL;100;DISH;NONINGR;VEGSOUP;VEGDITOT
32876;PERUNALAATIKKO, KINKKUKIUSAUS, HK, VALMISATERIA;DISH;BAK;100;DISH;NONINGR;MEATDISH;MEATDTOT
32877;KATKARAPUKEITTO, KERMAA, SUURUSTETTU;DISH;BOIL;100;DISH;NONINGR;SEAFSOUP;FISHDTOT
32878;MAITOKASTIKE, VALKOKASTIKE, RASVATON MAITO, RASVA-JAUHOSUURUS;DISH;BOIL;100;DISH;NONINGR;MILKSAUC;MILKDTOT
32879;MAITOKASTIKE, VALKOKASTIKE, TÄYSMAITO, RASVA-JAUHOSUURUS;DISH;BOIL;100;DISH;NONINGR;MILKSAUC;MILKDTOT
32880;KINKKUKASTIKE, MAITOPOHJAINEN, SAUNAPALVIKINKKU, KEVYTMAITO;DISH;BOIL;100;DISH;NONINGR;MEATSAUC;MEATDTOT
32881;KINKKUKASTIKE, MAITOPOHJAINEN, SAUNAPALVIKINKKU, RASVATON MAITO;DISH;BOIL;100;DISH;NONINGR;MEATSAUC;MEATDTOT
32882;KINKKUKASTIKE, MAITOPOHJAINEN, SAUNAPALVIKINKKU, TÄYSMAITO;DISH;BOIL;100;DISH;NONINGR;MEATSAUC;MEATDTOT
32883;KASVISKASTIKE, PUNAJUURIKASTIKE, RASVATON MAITO;DISH;BOIL;100;DISH;NONINGR;VEGSAUC;VEGDITOT
32884;KASVISKASTIKE, PUNAJUURIKASTIKE, TÄYSMAITO;DISH;BOIL;100;DISH;NONINGR;VEGSAUC;VEGDITOT
32885;KAURAJUOMA, NORDIC, MAUSTAMATON, LISÄTTY KALSIUMIA JA D-VITAMIINIA;FOOD;IND;100;OATLIQ;CERTOT;VEGJUICE;VEGDITOT
32886;KASVISKASTIKE, KIINALAINEN, HAPANIMELÄ;DISH;BOIL;100;DISH;NONINGR;VEGSAUC;VEGDITOT
32887;RIISIJUOMA, NORDIC, LISÄTTY KALSIUMIA JA D-VITAMIINIA;FOOD;IND;100;CEROTLIQ;CERTOT;VEGJUICE;VEGDITOT
32888;JÄLKIRUOKAKASTIKE, KARAMELLIKASTIKE;DISH;BOIL;100;DISH;NONINGR;DESSAUCE;MISCTOT
32889;KALAKASTIKE, KALAMUHENNOS, MAITOPOHJAINEN, KEVYTMAITO;DISH;BOIL;100;DISH;NONINGR;FISHSAUC;FISHDTOT
32890;KALAKASTIKE, KALAMUHENNOS, MAITOPOHJAINEN, RASVATON MAITO;DISH;BOIL;100;DISH;NONINGR;FISHSOUP;FISHDTOT
32891;MARJAPIIRAKKA/MARJAPAISTOS, MUROPOHJA JA TAIKINAKANSI, EI KANANMUNAA;DISH;BAK;100;DISH;NONINGR;BAKSWEET;CEBAKTOT
32892;HEDELMÄJUOMA, HYVÄÄ PÄIVÄÄ, KARPALO, OSITTAIN KEINOTEKOISESTI MAKEUTETTU;FOOD;MASH;100;FBDRINK;FRUITTOT;DRJUICE;BEVTOT
32893;HEDELMÄJUOMA, HYVÄÄ PÄIVÄÄ, SITRUS, OSITTAIN KEINOTEK. MAKEUTETTU, VITAMINOITU;FOOD;MASH;100;FBDRINK;FRUITTOT;DRINKART;BEVTOT
32894;HEDELMÄJUOMA, HYVÄÄ PÄIVÄÄ, FRUKTOOSI, VITAMINOITU;FOOD;MASH;100;FBDRINK;FRUITTOT;DRJUICE;BEVTOT
32895;PÄHKINÄ, AUSTRALIANPÄHKINÄ, MACADAMIAPÄHKINÄ;FOOD;RAW;100;NUTSEED;LEGUTOT;SNACKVEG;SNACKTOT
32897;ENERGIAJUOMA, ENERGIAVESI, TEHO, OLVI, VITAMINOITU;FOOD;IND;100;DRINKCO;BEVTOT;DRINKSO;BEVTOT
32898;LANTTULAATIKKO, RASVATON MAITO;DISH;BAK;100;DISH;NONINGR;VEGDISH;VEGDITOT
32899;LANTTULAATIKKO, TÄYSMAITO;DISH;BAK;100;DISH;NONINGR;VEGDISH;VEGDITOT
32900;LANTTULAATIKKO, KEVYTMAITO;DISH;BAK;100;DISH;NONINGR;VEGDISH;VEGDITOT
32901;PINAATTIOHUKAINEN, RASVATON MAITO;DISH;FRIE;100;DISH;NONINGR;VEGDISH;VEGDITOT
32903;KIISSELI, MEHUKEITTO, KOTITEKOINEN;DISH;BOIL;100;DISH;NONINGR;FRUBSOUP;FRUDITOT
32904;ATERIASALAATTI, KALKKUNASALAATTI, HEDELMÄINEN, KERMAVIILIKASTIKE;DISH;MIX;100;DISH;NONINGR;SALADMIX;SALADTOT
32905;NOKKOSOHUKAINEN, KEVYTMAITO;DISH;FRIE;100;DISH;NONINGR;PANCAKE;CEBAKTOT
32906;NOKKOSOHUKAINEN, RASVATON MAITO;DISH;FRIE;100;DISH;NONINGR;VEGPOT;VEGDITOT
32907;NOKKOSOHUKAINEN, TÄYSMAITO;DISH;FRIE;100;DISH;NONINGR;VEGPOT;VEGDITOT
32908;ATERIASALAATTI, KALKKUNASALAATTI, PASTA, ÖLJYKASTIKE;DISH;MIX;100;DISH;NONINGR;SALADMIX;SALADTOT
32910;ATERIASALAATTI, PAAHTOPAISTISALAATTI, PERUNAA, ÖLJYKASTIKE;DISH;MIX;100;DISH;NONINGR;SALADMIX;SALADTOT
32911;VANUKAS, RIISIVANUKAS, KOTITEKOINEN;DISH;BAK;100;DISH;NONINGR;MILKPUDD;MILKDTOT
32914;ATERIASALAATTI, KUSKUSSALAATTI, VUOHENJUUSTO, ÖLJYKASTIKE;DISH;MIX;100;DISH;NONINGR;SALADMIX;SALADTOT
32915;ATERIASALAATTI, MOZZARELLASALAATTI, TOMAATTI, BASILIKA, ÖLJYKASTIKE;DISH;MIX;100;DISH;NONINGR;SALADMIX;SALADTOT
32916;ATERIASALAATTI, NIZZAN SALAATTI, KANANMUNA, PERUNA, ANJOVIS, ÖLJYKASTIKE;DISH;MIX;100;DISH;NONINGR;SALADMIX;SALADTOT
32917;PERUNAOHUKAINEN, KEVYTMAITO;DISH;FRIE;100;DISH;NONINGR;POTADISH;POTATOT
32918;PERUNAOHUKAINEN, RASVATON MAITO;DISH;FRIE;100;DISH;NONINGR;POTADISH;POTATOT
32920;PERUNAPIHVI/PYÖRYKKÄ, KEVYTMAITO;DISH;BAK;100;DISH;NONINGR;POTADISH;POTATOT
32921;PERUNAPIHVI/PYÖRYKKÄ,TÄYSMAITO;DISH;BAK;100;DISH;NONINGR;POTADISH;POTATOT
32922;ATERIASALAATTI, LOHISALAATTI, KANANMUNA, APPELSIINI, PARSAKAALI, ÖLJYKASTIKE;DISH;MIX;100;DISH;NONINGR;SALADMIX;SALADTOT
32923;ATERIASALAATTI, LOHISALAATTI, AVOKADO, PARSA, ÖLJYKASTIKE;DISH;MIX;100;DISH;NONINGR;SALADMIX;SALADTOT
32925;JUUSTO, VUOHENJUUSTO, CHÈVRE, RASVAA 30 %;FOOD;IND;100;CHEEUNHI;MILKTOT;CHEESUNC;MILKDTOT
32926;MUNKKI, RASVATON MAITO, KOTITEKOINEN;DISH;FRIE;100;DISH;NONINGR;BUN;CEBAKTOT
32927;ATERIASALAATTI, VUOHENJUUSTOSALAATTI, KEITETTY PUNAJUURI, ÖLJYKASTIKE;DISH;MIX;100;DISH;NONINGR;SALADMIX;SALADTOT
32928;JAUHELIHAKASTIKE JA MUUSI, HK, VALMISATERIA;DISH;BAK;100;DISH;NONINGR;MEATSAUC;MEATDTOT
32930;ATERIASALAATTI, VUOHENJUUSTOSALAATTI, PÄÄRYNÄ, TOMAATTI, ÖLJYKASTIKE;DISH;MIX;100;DISH;NONINGR;SALADMIX;SALADTOT
32931;JUUSTO, VUOHENJUUSTO, CHÈVRE, RASVAA 30 %, PAISTETTU;DISH;IND;100;DISH;NONINGR;CHEESUNC;MILKDTOT
32932;PERUNALAATIKKO, LOHIKIUSAUS, HK, VALMISATERIA;DISH;BAK;100;DISH;NONINGR;FISHDISH;FISHDTOT
32936;PYTTIPANNU, LENKKIMAKKARA, KANANMUNA;DISH;FRIE;100;DISH;NONINGR;MEATDISH;MEATDTOT
32937;KANANMUNA, PAISTETTU, EI RASVAA, SUOLATON;DISH;FRIE;100;DISH;NONINGR;EGGS;EGGDISH
32938;KANANMUNAN KELTUAINEN, PAISTETTU ILMAN RASVAA, SUOLATON;DISH;FRIE;100;DISH;NONINGR;EGGS;EGGDISH
32939;KANANMUNAN VALKUAINEN, PAISTETTU ILMAN RASVAA, SUOLATON;DISH;FRIE;100;DISH;NONINGR;EGGS;EGGDISH
32943;UUNIKALA, SEITI, VALKOKASTIKE, JUUSTO, RASVATON MAITO, KORPPUJAUHO;DISH;BAK;100;DISH;NONINGR;FISHDISH;FISHDTOT
32944;RAHKAPIIRAKKA, PULLAPOHJA, RASVATON MAITO;DISH;BAK;100;DISH;NONINGR;BAKSWEET;CEBAKTOT
32947;NÄKKILEIPÄ, TÄYSJYVÄRUIS, PIENI PYÖREÄ/MAUKAS, VAASAN, KUITUA 20 %;DISH;BAK;100;DISH;NONINGR;BRRYE;CEBAKTOT
32949;NÄKKILEIPÄ, TÄYSJYVÄRUISNÄKKILEIPÄ, KUNTO, VAASAN, RUISLESEITÄ, KUITUA 20 %;DISH;BAK;100;DISH;NONINGR;BRRYE;CEBAKTOT
32950;NÄKKILEIPÄ, MONIVILJANÄKKILEIPÄ, PIENI PYÖREÄ, VAASAN, SEESAMINSIEMENIÄ;DISH;BAK;100;DISH;NONINGR;BRMIX;CEBAKTOT
32951;NÄKKILEIPÄ, VIIDEN TÄYSJYVÄVILJAN NÄKKILEIPÄ, TÄYSHYVÄT, VAASAN, KUITUA 21 %;DISH;BAK;100;DISH;NONINGR;BRRYE;CEBAKTOT
32955;SEKALEIPÄ, ROUHESÄMPYLÄ, LEIPÄAITTA, LIDL, VEHNÄJAUHO, VEHNÄROUHE;DISH;BAK;100;DISH;NONINGR;BRMIX;CEBAKTOT
32956;SEKALEIPÄ, GRAHAMSÄMPYLÄ, LEIPÄAITTA, LIDL, VEHNÄ- GRAHAMJAUHO, VEHNÄROUHE;DISH;BAK;100;DISH;NONINGR;BRMIX;CEBAKTOT
32957;SEKALEIPÄ, PEHMEÄ MONIVILJALEIPÄ, LEIPÄAITTA, LIDL, VEHNÄJAUHO, VEHNÄROUHE;DISH;BAK;100;DISH;NONINGR;BRMIX;CEBAKTOT
32958;SEKALEIPÄ, PERINTEINEN KAURALEIPÄ, LEIPÄAITTA, LIDL, VEHNÄJAUHO, KAURAHIUTALE;DISH;BAK;100;DISH;NONINGR;BRMIX;CEBAKTOT
32959;VAALEA LEIPÄ, ARINALEIPÄ, LEIPÄAITTA, LIDL, OLIIVIÖLJY, VOIMAKASSUOLAINEN;DISH;BAK;100;DISH;NONINGR;BRWHITE;CEBAKTOT
32960;SEKALEIPÄ, RUISROUHEVIIPALEET, LEIPÄAITTA, LIDL, VEHNÄJAUHO, RUISJAUHO, -ROUHE;DISH;BAK;100;DISH;NONINGR;BRMIX;CEBAKTOT
32961;SEKALEIPÄ, PIIMÄLIMPPU, LEIPÄAITTA, LIDL, VEHNÄ-GRAHAMJAUHO, HIIVALEIPÄJAUHO;DISH;BAK;100;DISH;NONINGR;BRMIX;CEBAKTOT
32962;RUISLEIPÄ, RUISPALAT, LEIPÄAITTA, LIDL, TÄYSJYVÄRUIS-VEHNÄJAUHO;DISH;BAK;100;DISH;NONINGR;BRRYE;CEBAKTOT
32963;KEKSI, DIGESTIVE, SUKLAINEN;DISH;BAK;100;DISH;NONINGR;BISCUSWE;CEBAKTOT
32964;RUISLEIPÄ, PERINTEINEN VARRASLEIPÄ, LEIPÄAITTA/LIDL,TÄYSJYVÄRUIS-HIIVALEIPÄJAUHO;DISH;BAK;100;DISH;NONINGR;BRRYE;CEBAKTOT
32965;RUISLEIPÄ, PYÖREÄT RUISPALASET, LEIPÄAITTA, LIDL, TÄYSJYVÄRUISJAUHO, PERUNAHIUT.;DISH;BAK;100;DISH;NONINGR;BRRYE;CEBAKTOT
