THSCODE;DESCRIPT;LANG
MI0369;Vitamin E activity calculated from intrinsic d-alpha-tocoperol and added alpha-tocopherol;FI
MI0421;Niacin equivalents calculated from niacin and tryptophan;FI
MI0422;Niacin equivalents calculated from niacin and tryptophan (reduced niacin availability);FI
MI0423;Niacin equivalents calculated from tryptophan only;FI
MI0451;Folate calculated by summation of free folic acid and bound folic acid;FI
MI0452;Folate calculated from free folic acid and bound folic acid;FI
MI0453;Folate calculated from intrinsic folic acid and added folic acid;FI
MI0512;Sugar calculated as the sum of individual mono- and disaccharides;FI
MI1001;Ashing;FI
MI1002;Spectroscopy;FI
MI1006;Atomic absorption spectroscopy;FI
MI1010;Bioassay;FI
MI1013;Colorimetry;FI
MI1015;Column chromatography;FI
MI1017;Drying;FI
MI1018;Dry ashing;FI
MI1019;Dye binding;FI
MI1021;Enzyme hydrolysis;FI
MI1023;Chemical assay;FI
MI1025;Freeze drying;FI
MI1026;Gas-liquid chromatography;FI
MI1037;Ion-se­lective electrode;FI
MI1038;Karl Fisher titration;FI
MI1039;Distillation titrimetry;FI
MI1044;Polarimetry;FI
MI1045;Radio-protein binding assay;FI
MI1046;Reductiometry;FI
MI1049;Schoorl method;FI
MI1053;Titrimetry;FI
MI1054;Total sugars method;FI
MI1060;Enzymatic-colorimetric method;FI
MI1061;Enzymatic, other method;FI
MI1063;Englyst method;FI
MI1064;Southgate method;FI
MI1081;Distillation;FI
MI1103;Air drying;FI
MI1121;Hydrolysis;FI
MI1137;High-performance liquid chromatography;FI
MI1142;Atomic emission spectroscopy;FI
MI1144;Chromatography;FI
MI1152;Fluorimetric method;FI
MI1154;Colorimetric method;FI
MI1160;Bomb calorimetry;FI
MI1165;Nuclear magnetic resonance spectroscopy;FI
MI1173;Microbiological assay;FI
MI1174;Animal bioassay;FI
MI1182;Gas chromatography mass spectroscopy;FI
MI1183;Liquid chromatography - mass spectrometry;FI
MI1196;Microwave ashing;FI
MI1197;Wet ashing;FI
MI1202;Acid hydrolysis with gravimetric quantification;FI
MI1203;Radioimmunoassay;FI
MI1205;Gas chromatography;FI
MI1207;Refractometry;FI
MI1208;Specific gravity measurement;FI
MI1209;Inductively Coupled Plasma Mass Spectrometry;FI
MI1212;Vacuum drying;FI
MI1213;Enzymatic colorimetry;FI
MI1214;Binding assay;FI
MI1215;Potentiometry;FI
MI1216;Thermal combustion;FI
MI1218;Enzymatic;FI
MI1301;Dumas method;FI
MI1302;Solvent extraction;FI
MI1303;X-ray fluorescence spectroscopy;FI
MI1304;Near infrared spectroscopy;FI
MI1305;Inductively Coupled Plasma Atomic Emission Spectrometry;FI
MI1307;Enzymatic-gravimetric method;FI
MIR001;Analytical methods;FI
MIR002;Calculation methods;FI
MIR003;Analytical or calculation method not known;FI
MIR004;Difference;FI
MIR005;Factored summation;FI
MIR006;Simple summation;FI
MIR007;Imputation;FI
MIR008;Recipe calculation methods;FI
